date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-09 15:00:00+00:00,16.6045,0.0,11.5199995,130.47594,582.6863,356.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 16:00:00+00:00,16.5045,0.0,13.32,106.499626,453.67117,229.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 17:00:00+00:00,15.1045,7.0,12.959999,59.002113,237.54779,92.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 18:00:00+00:00,12.6545,0.0,9.72,5.1069975,0.0,5.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 19:00:00+00:00,11.2045,0.0,12.24,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 20:00:00+00:00,9.7545,0.0,11.879999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 21:00:00+00:00,8.554501,1.0,11.159999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 22:00:00+00:00,8.054501,0.0,10.440001,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-09 23:00:00+00:00,7.0045004,0.0,9.0,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 00:00:00+00:00,6.3045,0.0,6.8399997,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 01:00:00+00:00,6.2545004,0.0,7.2,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 02:00:00+00:00,5.4045,0.0,10.08,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 03:00:00+00:00,5.0545,0.0,11.5199995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 04:00:00+00:00,5.0045004,0.0,10.440001,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 05:00:00+00:00,4.2045,0.0,9.36,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 06:00:00+00:00,4.0545,0.0,9.72,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 07:00:00+00:00,2.6545,100.0,9.72,29.488594,99.31441,40.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 08:00:00+00:00,6.3045,0.0,8.28,66.612526,54.16622,78.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 09:00:00+00:00,8.4045,30.0,9.36,122.15558,535.74194,304.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 10:00:00+00:00,6.7545004,100.0,9.0,137.37125,648.8979,424.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 11:00:00+00:00,12.4045,1.0,9.72,184.07077,246.84935,310.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 12:00:00+00:00,13.054501,0.0,9.72,147.3225,723.39185,538.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 13:00:00+00:00,9.6545,0.0,11.5199995,145.93837,721.62964,528.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 14:00:00+00:00,12.4545,0.0,15.84,141.7398,674.8335,465.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 15:00:00+00:00,11.7045,0.0,11.879999,130.96283,599.19867,366.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 16:00:00+00:00,7.6045003,38.0,13.32,107.83829,465.9354,236.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 17:00:00+00:00,8.304501,0.0,13.32,55.192028,125.89982,73.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 18:00:00+00:00,6.6545,69.0,14.4,6.065918,0.0,6.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 19:00:00+00:00,5.8545003,100.0,14.759999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 20:00:00+00:00,5.4045,100.0,12.959999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 21:00:00+00:00,5.1045003,100.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 22:00:00+00:00,5.7545004,100.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-10 23:00:00+00:00,5.5545,100.0,10.08,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 00:00:00+00:00,5.2545004,100.0,11.159999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 01:00:00+00:00,5.9045,100.0,11.5199995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 02:00:00+00:00,5.6545,100.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 03:00:00+00:00,5.3045,100.0,12.599999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 04:00:00+00:00,6.2545004,100.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 05:00:00+00:00,6.2045,100.0,14.04,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-11 06:00:00+00:00,6.0045004,100.0,13.679999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
