"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"11/01/2025 09:00:00 - 11/01/2025 10:00:00","BZN|NL","Without sequence","127.81","",""
"11/01/2025 10:00:00 - 11/01/2025 11:00:00","BZN|NL","Without sequence","101.61","",""
"11/01/2025 11:00:00 - 11/01/2025 12:00:00","BZN|NL","Without sequence","97.57","",""
"11/01/2025 12:00:00 - 11/01/2025 13:00:00","BZN|NL","Without sequence","93.15","",""
"11/01/2025 13:00:00 - 11/01/2025 14:00:00","BZN|NL","Without sequence","95.74","",""
"11/01/2025 14:00:00 - 11/01/2025 15:00:00","BZN|NL","Without sequence","105.23","",""
"11/01/2025 15:00:00 - 11/01/2025 16:00:00","BZN|NL","Without sequence","112.46","",""
"11/01/2025 16:00:00 - 11/01/2025 17:00:00","BZN|NL","Without sequence","120.12","",""
"11/01/2025 17:00:00 - 11/01/2025 18:00:00","BZN|NL","Without sequence","124.1","",""
"11/01/2025 18:00:00 - 11/01/2025 19:00:00","BZN|NL","Without sequence","135.0","",""
"11/01/2025 19:00:00 - 11/01/2025 20:00:00","BZN|NL","Without sequence","131.4","",""
"11/01/2025 20:00:00 - 11/01/2025 21:00:00","BZN|NL","Without sequence","124.2","",""
"11/01/2025 21:00:00 - 11/01/2025 22:00:00","BZN|NL","Without sequence","124.19","",""
"11/01/2025 22:00:00 - 11/01/2025 23:00:00","BZN|NL","Without sequence","105.94","",""
"11/01/2025 23:00:00 - 12/01/2025 00:00:00","BZN|NL","Without sequence","140.6","",""
"12/01/2025 00:00:00 - 12/01/2025 01:00:00","BZN|NL","Without sequence","115.0","",""
"12/01/2025 01:00:00 - 12/01/2025 02:00:00","BZN|NL","Without sequence","100.0","",""
"12/01/2025 02:00:00 - 12/01/2025 03:00:00","BZN|NL","Without sequence","90.0","",""
"12/01/2025 03:00:00 - 12/01/2025 04:00:00","BZN|NL","Without sequence","85.0","",""
"12/01/2025 04:00:00 - 12/01/2025 05:00:00","BZN|NL","Without sequence","89.9","",""
"12/01/2025 05:00:00 - 12/01/2025 06:00:00","BZN|NL","Without sequence","97.0","",""
"12/01/2025 06:00:00 - 12/01/2025 07:00:00","BZN|NL","Without sequence","101.75","",""
"12/01/2025 07:00:00 - 12/01/2025 08:00:00","BZN|NL","Without sequence","114.76","",""
"12/01/2025 08:00:00 - 12/01/2025 09:00:00","BZN|NL","Without sequence","120.07","",""
"12/01/2025 09:00:00 - 12/01/2025 10:00:00","BZN|NL","Without sequence","117.77","",""
"12/01/2025 10:00:00 - 12/01/2025 11:00:00","BZN|NL","Without sequence","105.61","",""
"12/01/2025 11:00:00 - 12/01/2025 12:00:00","BZN|NL","Without sequence","102.99","",""
"12/01/2025 12:00:00 - 12/01/2025 13:00:00","BZN|NL","Without sequence","99.61","",""
"12/01/2025 13:00:00 - 12/01/2025 14:00:00","BZN|NL","Without sequence","103.23","",""
"12/01/2025 14:00:00 - 12/01/2025 15:00:00","BZN|NL","Without sequence","116.32","",""
"12/01/2025 15:00:00 - 12/01/2025 16:00:00","BZN|NL","Without sequence","129.52","",""
