ds,actual,predicted,window_start,window_end
2025-04-21 12:00:00,0.00891,0.04367694720957438,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 13:00:00,0.00836,0.05170869644149545,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 14:00:00,0.0103699999999999,0.06397910988000122,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 15:00:00,0.05636,0.06563963157368669,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 16:00:00,0.10017,0.09755839255680132,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 17:00:00,0.10437,0.12909194413412017,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 18:00:00,0.12311,0.140018375857759,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 19:00:00,0.14,0.1442173460148395,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 20:00:00,0.1321,0.12211976224822774,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 21:00:00,0.1227699999999999,0.10034459129934892,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 22:00:00,0.1071299999999999,0.09020581667170846,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-21 23:00:00,0.09567,0.0883255418116925,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 00:00:00,0.0884,0.0812405628162477,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 01:00:00,0.08698,0.09218683295838703,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 02:00:00,0.08462,0.08398156164205717,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 03:00:00,0.08389,0.0761476349999769,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 04:00:00,0.09509,0.08834757059547149,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 05:00:00,0.1174,0.09760659693292562,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 06:00:00,0.14614,0.11495766797512197,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 07:00:00,0.147,0.1273953106016681,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 08:00:00,0.11252,0.11804772289959331,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 09:00:00,0.0983199999999999,0.07884263896242683,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 10:00:00,0.09081,0.052468485491863226,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 11:00:00,0.08142,0.03408358211659923,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 12:00:00,0.06976,0.02585654372616386,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 13:00:00,0.07034,-0.01660767528011131,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 14:00:00,0.07845,-0.007447553369059445,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 15:00:00,0.082,0.0326472762427773,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 16:00:00,0.0963,0.05278836921475982,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 17:00:00,0.1149,0.09965230948639747,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 18:00:00,0.17872,0.1328142379017807,2025-04-18 12:00:00,2025-04-23 12:00:00
2025-04-22 19:00:00,0.25335,0.14826106168962072,2025-04-18 12:00:00,2025-04-23 12:00:00
