Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,wind_speed_10m,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
0.12472,2025-02-15 15:00:00+00:00,14634.0,96.0,3.382499933242798,43.94951629638672,83.11576843261719,621.0,0.7029130847082615,-342.25,2,0,0.7112757519738152,8.640000343322754,1,-0.7071067811865479,1,100.0,-0.9749279121818236,-0.7071067811865471,-0.2225209339563146
0.14,2025-02-15 16:00:00+00:00,15313.25,37.0,3.0824999809265137,6.5029473304748535,35.8304557800293,621.0,0.7029130847082615,899.0,2,0,0.7112757519738152,5.039999961853027,1,-0.5000000000000004,1,100.0,-0.9749279121818236,-0.8660254037844384,-0.2225209339563146
0.15866,2025-02-15 17:00:00+00:00,16525.25,9.0,2.5824999809265137,0.0,9.0,620.0,0.7029130847082615,1024.75,2,0,0.7112757519738152,4.320000171661377,1,-0.25881904510252063,1,100.0,-0.9749279121818236,-0.9659258262890683,-0.2225209339563146
0.17053000000000001,2025-02-15 18:00:00+00:00,16767.75,0.0,2.0325000286102295,0.0,0.0,620.0,0.7029130847082615,355.75,2,0,0.7112757519738152,5.399999618530273,1,-1.8369701987210297e-16,1,100.0,-0.9749279121818236,-1.0,-0.2225209339563146
0.16391,2025-02-15 19:00:00+00:00,15987.0,0.0,1.6825000047683716,0.0,0.0,621.0,0.7029130847082615,101.25,2,0,0.7112757519738152,4.320000171661377,1,0.2588190451025203,1,100.0,-0.9749279121818236,-0.9659258262890684,-0.2225209339563146
0.14729,2025-02-15 20:00:00+00:00,15326.5,0.0,1.3825000524520874,0.0,0.0,620.0,0.7029130847082615,203.5,2,0,0.7112757519738152,6.479999542236328,1,0.5000000000000001,1,100.0,-0.9749279121818236,-0.8660254037844386,-0.2225209339563146
0.12806,2025-02-15 21:00:00+00:00,14723.5,0.0,0.7825000286102295,0.0,0.0,621.0,0.7029130847082615,-1.0,2,0,0.7112757519738152,4.320000171661377,1,0.7071067811865474,1,100.0,-0.9749279121818236,-0.7071067811865477,-0.2225209339563146
0.13163,2025-02-15 22:00:00+00:00,14134.5,0.0,0.7324999570846558,0.0,0.0,620.0,0.7029130847082615,93.0,2,0,0.7112757519738152,5.399999618530273,1,0.8660254037844384,1,97.0,-0.9749279121818236,-0.5000000000000004,-0.2225209339563146
0.12470999999999999,2025-02-15 23:00:00+00:00,13478.75,0.0,-0.017500001937150955,0.0,0.0,620.0,0.7029130847082615,-1.0,2,0,0.7112757519738152,4.320000171661377,1,0.9659258262890681,1,0.0,-0.9749279121818236,-0.25881904510252157,-0.2225209339563146
0.13411,2025-02-16 00:00:00+00:00,12898.25,0.0,-0.017500001937150955,0.0,0.0,620.0,0.6905740195722293,-370.5,2,0,0.7232617254437388,8.279999732971191,1,1.0,1,100.0,-0.7818314824680299,0.0,0.6234898018587334
