Forecasted Load,forecast_date,target_datetime
14654.0,2025-01-03,2025-01-03 18:30:00+01:00
14497.0,2025-01-03,2025-01-03 18:45:00+01:00
14363.0,2025-01-03,2025-01-03 19:00:00+01:00
14154.0,2025-01-03,2025-01-03 19:15:00+01:00
13954.0,2025-01-03,2025-01-03 19:30:00+01:00
13843.0,2025-01-03,2025-01-03 19:45:00+01:00
13708.0,2025-01-03,2025-01-03 20:00:00+01:00
13564.0,2025-01-03,2025-01-03 20:15:00+01:00
13358.0,2025-01-03,2025-01-03 20:30:00+01:00
13188.0,2025-01-03,2025-01-03 20:45:00+01:00
13067.0,2025-01-03,2025-01-03 21:00:00+01:00
12993.0,2025-01-03,2025-01-03 21:15:00+01:00
12901.0,2025-01-03,2025-01-03 21:30:00+01:00
12772.0,2025-01-03,2025-01-03 21:45:00+01:00
12652.0,2025-01-03,2025-01-03 22:00:00+01:00
12401.0,2025-01-03,2025-01-03 22:15:00+01:00
12230.0,2025-01-03,2025-01-03 22:30:00+01:00
12075.0,2025-01-03,2025-01-03 22:45:00+01:00
11903.0,2025-01-03,2025-01-03 23:00:00+01:00
11805.0,2025-01-03,2025-01-03 23:15:00+01:00
11677.0,2025-01-03,2025-01-03 23:30:00+01:00
11572.0,2025-01-03,2025-01-03 23:45:00+01:00
12386.0,2025-01-04,2025-01-04 00:00:00+01:00
12437.0,2025-01-04,2025-01-04 00:15:00+01:00
12413.0,2025-01-04,2025-01-04 00:30:00+01:00
12244.0,2025-01-04,2025-01-04 00:45:00+01:00
12011.0,2025-01-04,2025-01-04 01:00:00+01:00
11915.0,2025-01-04,2025-01-04 01:15:00+01:00
11820.0,2025-01-04,2025-01-04 01:30:00+01:00
11679.0,2025-01-04,2025-01-04 01:45:00+01:00
11518.0,2025-01-04,2025-01-04 02:00:00+01:00
11505.0,2025-01-04,2025-01-04 02:15:00+01:00
11491.0,2025-01-04,2025-01-04 02:30:00+01:00
11430.0,2025-01-04,2025-01-04 02:45:00+01:00
11373.0,2025-01-04,2025-01-04 03:00:00+01:00
11387.0,2025-01-04,2025-01-04 03:15:00+01:00
11356.0,2025-01-04,2025-01-04 03:30:00+01:00
11375.0,2025-01-04,2025-01-04 03:45:00+01:00
11329.0,2025-01-04,2025-01-04 04:00:00+01:00
11377.0,2025-01-04,2025-01-04 04:15:00+01:00
11387.0,2025-01-04,2025-01-04 04:30:00+01:00
11416.0,2025-01-04,2025-01-04 04:45:00+01:00
11504.0,2025-01-04,2025-01-04 05:00:00+01:00
11551.0,2025-01-04,2025-01-04 05:15:00+01:00
11533.0,2025-01-04,2025-01-04 05:30:00+01:00
11569.0,2025-01-04,2025-01-04 05:45:00+01:00
11677.0,2025-01-04,2025-01-04 06:00:00+01:00
11845.0,2025-01-04,2025-01-04 06:15:00+01:00
11976.0,2025-01-04,2025-01-04 06:30:00+01:00
12121.0,2025-01-04,2025-01-04 06:45:00+01:00
12282.0,2025-01-04,2025-01-04 07:00:00+01:00
12432.0,2025-01-04,2025-01-04 07:15:00+01:00
12528.0,2025-01-04,2025-01-04 07:30:00+01:00
12655.0,2025-01-04,2025-01-04 07:45:00+01:00
12881.0,2025-01-04,2025-01-04 08:00:00+01:00
13098.0,2025-01-04,2025-01-04 08:15:00+01:00
13202.0,2025-01-04,2025-01-04 08:30:00+01:00
13417.0,2025-01-04,2025-01-04 08:45:00+01:00
13588.0,2025-01-04,2025-01-04 09:00:00+01:00
13700.0,2025-01-04,2025-01-04 09:15:00+01:00
13797.0,2025-01-04,2025-01-04 09:30:00+01:00
13900.0,2025-01-04,2025-01-04 09:45:00+01:00
13941.0,2025-01-04,2025-01-04 10:00:00+01:00
13956.0,2025-01-04,2025-01-04 10:15:00+01:00
13967.0,2025-01-04,2025-01-04 10:30:00+01:00
13948.0,2025-01-04,2025-01-04 10:45:00+01:00
13825.0,2025-01-04,2025-01-04 11:00:00+01:00
13805.0,2025-01-04,2025-01-04 11:15:00+01:00
13704.0,2025-01-04,2025-01-04 11:30:00+01:00
13696.0,2025-01-04,2025-01-04 11:45:00+01:00
13753.0,2025-01-04,2025-01-04 12:00:00+01:00
13756.0,2025-01-04,2025-01-04 12:15:00+01:00
13699.0,2025-01-04,2025-01-04 12:30:00+01:00
13668.0,2025-01-04,2025-01-04 12:45:00+01:00
13562.0,2025-01-04,2025-01-04 13:00:00+01:00
13594.0,2025-01-04,2025-01-04 13:15:00+01:00
