Price,target_datetime,Load,shortwave_radiation,temperature_2m,direct_normal_irradiance,diffuse_radiation,Flow_NO,yearday_cos,Flow_GB,month,is_dst,yearday_sin,is_non_working_day,hour_cos,is_weekend,cloud_cover,weekday_sin,hour_sin,weekday_cos
-0.02162,2025-05-13 12:00:00+00:00,1488.0,875.0,22.38249969482422,816.2920532226562,196.79971313476562,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-1.0,0,4.0,0.7818314824680298,1.2246467991473532e-16,0.6234898018587336
-0.0099,2025-05-13 11:00:00+00:00,1306.5,830.0,21.932498931884766,783.8743286132812,197.18873596191406,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.9659258262890682,0,0.0,0.7818314824680298,0.258819045102521,0.6234898018587336
-0.00108,2025-05-13 10:00:00+00:00,1558.0,765.0,20.532499313354492,786.091796875,178.7415008544922,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.8660254037844387,0,99.0,0.7818314824680298,0.49999999999999994,0.6234898018587336
0.016,2025-05-13 09:00:00+00:00,3265.5,650.0,19.13249969482422,747.555419921875,163.7042694091797,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.7071067811865475,0,85.0,0.7818314824680298,0.7071067811865476,0.6234898018587336
0.07551000000000001,2025-05-13 08:00:00+00:00,5340.75,498.0,17.682498931884766,656.0186767578125,151.65908813476562,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.49999999999999983,0,34.0,0.7818314824680298,0.8660254037844387,0.6234898018587336
0.1019,2025-05-13 07:00:00+00:00,7355.75,339.0,15.282500267028809,535.5531616210938,132.05294799804688,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,-0.25881904510252063,0,23.0,0.7818314824680298,0.9659258262890683,0.6234898018587336
0.12643000000000001,2025-05-13 06:00:00+00:00,8599.25,175.0,12.932499885559082,335.29864501953125,96.01405334472656,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,6.123233995736766e-17,0,23.0,0.7818314824680298,1.0,0.6234898018587336
0.13031,2025-05-13 05:00:00+00:00,8932.25,51.0,12.132500648498535,111.51412200927734,38.08327865600586,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.25881904510252074,0,91.0,0.7818314824680298,0.9659258262890683,0.6234898018587336
0.09793,2025-05-13 04:00:00+00:00,9303.75,0.0,11.682499885559082,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.5000000000000001,0,93.0,0.7818314824680298,0.8660254037844386,0.6234898018587336
0.09362000000000001,2025-05-13 03:00:00+00:00,9372.5,0.0,12.032500267028809,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.7071067811865476,0,39.0,0.7818314824680298,0.7071067811865475,0.6234898018587336
0.09112,2025-05-13 02:00:00+00:00,9411.0,0.0,13.382500648498535,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.8660254037844387,0,100.0,0.7818314824680298,0.49999999999999994,0.6234898018587336
0.08503,2025-05-13 01:00:00+00:00,9485.5,0.0,13.832500457763672,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,0.9659258262890683,0,100.0,0.7818314824680298,0.25881904510252074,0.6234898018587336
0.085,2025-05-13 00:00:00+00:00,9742.25,0.0,14.932499885559082,0.0,0.0,0.0,-0.6572212950663319,0.0,5,1,0.753697664392914,0,1.0,0,12.0,0.7818314824680298,0.0,0.6234898018587336
0.08718000000000001,2025-05-12 23:00:00+00:00,10067.5,0.0,15.782500267028809,0.0,0.0,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,0.9659258262890681,0,100.0,0.0,-0.25881904510252157,1.0
0.09043999999999999,2025-05-12 22:00:00+00:00,9966.25,0.0,16.432498931884766,0.0,0.0,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,0.8660254037844384,0,100.0,0.0,-0.5000000000000004,1.0
0.10114,2025-05-12 21:00:00+00:00,10093.75,0.0,17.482500076293945,0.0,0.0,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,0.7071067811865474,0,74.0,0.0,-0.7071067811865477,1.0
0.11758,2025-05-12 20:00:00+00:00,10571.75,3.0,18.682498931884766,0.0,3.063314437866211,0.0,-0.6441592666722685,0.0,5,1,0.7648913904341226,0,0.5000000000000001,0,7.0,0.0,-0.8660254037844386,1.0
