Model,MAE,MSE,RMSE,R2,Comments,Execution Time,Run At
Prophet,0.0361975729172694,0.0022619528905977,0.0475599925420276,0.1801849407290061,Revised model with hyperparameter tuning and -ve price Run,28.926873922348022,20250517_165613
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.5915987491607666,20250517_165642
Prophet,0.0851313378427697,0.014026744532509,0.1184345580162691,-4.083808972369554,Refactor code run 5 with modified regressors parameters,1.80600380897522,20250517_171219
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.460993766784668,20250517_171242
Prophet,0.0851313378427697,0.014026744532509,0.1184345580162691,-4.083808972369554,Refactor code run 5 with modified regressors parameters,2.363357782363892,20250518_064851
Prophet,0.0851313378427697,0.014026744532509,0.1184345580162691,-4.083808972369554,Refactor code run 5 with modified regressors parameters,2.6434030532836914,20250520_055513
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,3.738294839859009,20250520_060156
Prophet,0.0442263864216158,0.0035558959078816,0.0596313332727153,0.0982412567399988,Refactor code run 5 with modified regressors parameters,13.338649034500122,20250520_111743
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,5.256986856460571,20250520_111855
Prophet,0.0361975729172694,0.0022619528905977,0.0475599925420276,0.1801849407290061,Revised model with hyperparameter tuning and -ve price Run,72.21660995483398,20250520_112032
Prophet,0.0358735447887675,0.0020751621558812,0.0455539477529797,0.2478847844743951,Revised model with hyperparameter tuning and -ve price Run,1.7675840854644775,20250520_112140
Prophet,0.0442263864216158,0.0035558959078816,0.0596313332727153,0.0982412567399988,run on 20 May with revised data set,7.428476333618164,20250520_112257
Prophet,0.0621237951950324,0.0076162642501516,0.0872712108896834,-0.8588625815040474,run on 21st May with merge file,2.731772899627685,20250523_165334
Prophet,0.0644946985062884,0.0080311523785111,0.0896166969850547,-0.9601222006542612,run on 23rd May with merge file,4.337937831878662,20250523_165440
Prophet,0.0647749842608216,0.0064944884281331,0.0805883889163514,-0.5850765058246741,run on 24th May with latest WARP db,7.703982830047607,20250524_063449
Prophet,0.0277417365904701,0.0018354034342852,0.0428416086799416,0.5520424903995471,run on 24th May with latest WARP db and finding best params,114.3602180480957,20250524_063852
Prophet,0.0342919485450122,0.0020559115416457,0.04534216075184,0.3604423528876985,run on 24th May with latest WARP db and finding best params,109.59671688079834,20250524_064428
Prophet,0.037085155269319,0.0021888548152996,0.0467851986775698,0.3190860563860105,"run on 24th May with greedy forward selection, best regressors: ['temperature_2m']",203.41527199745173,20250524_070119
Prophet,0.0357644564256567,0.0022127815695063,0.0470402122604302,0.3116428671663069,"run on 24th May with expanded grid search, best params: {'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 0.1, 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'n_changepoints': 50}",180.93091416358948,20250524_090553
Prophet,0.0318345957098689,0.0018495874799211,0.0430068306193461,0.4246261121527477,"run on 24th May with expanded grid search, best params: {'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 1.0, 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'n_changepoints': 50}",731.4594807624817,20250524_092028
Prophet,0.0321779500315258,0.001815650050796,0.0426104453250148,0.4351834449370584,"run on 24th May with expanded grid search, best params: {'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 10.0, 'holidays_prior_scale': 1.0, 'changepoint_range': 0.8, 'n_changepoints': 50}",213.04571104049683,20250528_073110
